%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, 36043.32787314986, 36559.116728200526, -11104.860735519022, 1438.0888865100012, 6371.901198852205, 6769.762250156671, -5754.993051885731, 15189.977310893217, 1627.9446039133793, -187500.02235174447, -1620.5908799875833, -36163.31203738595, -187500.02235174447, -4445.538454716022, -6561.48869532212, -187500.02235174447, -0.01, 0.9540000000000001, 0.268, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836051488E9, 0.0, 2024-02-11 14:49:43.605
2.0, 35950.14345051569, 36569.9796760058, -11102.871430262498, 1425.5048543816633, 6372.370585485767, 6776.713642682272, -5735.636441187435, 14750.921994557619, 1639.791028474692, -187500.02235174447, -1580.9165335794132, -36137.138144628785, -187500.02235174447, -4399.270343693536, -6531.425599029732, -187500.02235174447, -0.006, 0.9540000000000001, 0.27, 192.0, 127.5, 104.0, 14.5, 104.0, 4.0, 56.0, 0.0, 0.0, 0.0, 1.707680983605156E9, 0.0, 2024-02-11 14:49:43.605
4.0, 35883.24467936095, 36581.960211033846, -11088.029871944174, 1439.2288254772218, 6381.847725134818, 6786.257837564688, -5710.2895629751165, 14316.180564901897, 1684.7850900632252, -187500.02235174447, -1541.0186697266902, -36093.4181324742, -187500.02235174447, -4339.904110420241, -6538.756971211073, -187500.02235174447, -0.006, 0.9540000000000001, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836051638E9, 0.0, 2024-02-11 14:49:43.605
6.0, 35789.479111370936, 36621.880426631025, -11078.932711950865, 1437.1501132428782, 6396.0634346083925, 6817.617335035484, -5722.672429403357, 13836.065094001902, 1752.0861926181547, -187500.02235174447, -1503.9371256753357, -36060.091681491336, -187500.02235174447, -4291.356121463314, -6506.279886517512, -187500.02235174447, -0.006, 0.9540000000000001, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707680983605171E9, 0.0, 2024-02-11 14:49:43.605
8.0, 35695.13239802509, 36665.98041844135, -11021.265211256172, 1472.376462504442, 6429.613403035808, 6856.174094220888, -5690.910600532366, 13290.704881036865, 1828.2385859773858, -187500.02235174447, -1449.8235523490373, -35979.31247702986, -187500.02235174447, -4228.570071288356, -6521.926107636226, -187500.02235174447, -0.006, 0.9540000000000001, 0.27, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707680983605178E9, 0.0, 2024-02-11 14:49:43.605
10.0, 35592.38142876404, 36734.60027391914, -11001.215696479761, 1480.4230905083527, 6472.953435534649, 6916.210879827843, -5633.868948682421, 12683.98912954201, 1930.2742994158625, -187500.02235174447, -1378.9908741701693, -35900.88020573619, -187500.02235174447, -4156.932730309097, -6490.074871787414, -187500.02235174447, -0.004, 0.9550000000000001, 0.269, 192.0, 127.5, 120.0, 14.5, 112.0, 4.0, 48.0, 0.0, 0.0, 0.0, 1.7076809836051855E9, 0.0, 2024-02-11 14:49:43.605
12.0, 35438.176743766875, 36789.51851004583, -10940.664820750335, 1527.3394021200422, 6526.374104782833, 6983.154354471488, -5559.3705844128835, 11880.041584973525, 2071.8726005402327, -187500.02235174447, -1283.8618497683824, -35767.105015171175, -187500.02235174447, -4062.004871607408, -6522.842529158894, -187500.02235174447, -0.004, 0.9550000000000001, 0.269, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836051927E9, 0.0, 2024-02-11 14:49:43.605
14.0, 35410.92996727586, 36759.053082353246, -10928.25960257764, 1552.6192250989945, 6524.00481987057, 6957.896883236991, -5575.843820076445, 11337.76591274332, 2182.2231629160838, -187500.02235174447, -1149.5502173364423, -35623.11507739009, -187500.02235174447, -3947.8321609296995, -6438.867025240305, -187500.02235174447, -0.004, 0.9550000000000001, 0.269, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836051996E9, 0.0, 2024-02-11 14:49:43.605
16.0, 35471.86082266102, 36654.11164213558, -11000.61219937947, 1503.445387297319, 6447.383039877777, 6855.078858742579, -5635.0982946274635, 11098.848116260544, 2180.1668024261958, -187500.02235174447, -1084.3278270158562, -35627.54072279224, -187500.02235174447, -3896.3784451935826, -6249.637156681676, -187500.02235174447, -0.004, 0.9550000000000001, 0.269, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052077E9, 0.0, 2024-02-11 14:49:43.605
18.0, 35497.185349128886, 36589.939783804395, -11070.28258684666, 1439.7205638552384, 6381.221876290068, 6787.397776531909, -5763.509066523203, 10909.282971535084, 2100.8181096098556, -187500.02235174447, -1119.1965483661352, -35707.761133642336, -187500.02235174447, -3930.710724676934, -6174.579998800755, -187500.02235174447, -0.004, 0.9550000000000001, 0.269, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7076809836052148E9, 0.0, 2024-02-11 14:49:43.605
20.0, 35556.90921031347, 36566.67161782642, -11083.023081186186, 1428.1423602273894, 6366.559131927387, 6762.073250064046, -5778.4400318193475, 10784.537885730015, 2033.0699721658198, -187500.02235174447, -1166.9845780115818, -35765.428634337026, -187500.02235174447, -3979.2810653783163, -6202.430272392067, -187500.02235174447, -0.003, 0.9535, 0.2695, 192.0, 127.5, 120.0, 14.5, 96.0, 4.0, 56.0, 0.0, 0.0, 0.0, 1.707680983605222E9, 0.0, 2024-02-11 14:49:43.605
